utc_timestamp,DE_load_actual,DE_solar_actual,DE_wind_onshore_actual,DE_wind_offshore_actual,DE_load_forecast,DE_solar_forecast,DE_wind_onshore_forecast,DE_wind_offshore_forecast,solar_error,wind_onshore_error,wind_offshore_error,load_error
2019-10-14 00:00:00+02:00,45870.0775,0.07,24629.385000000002,5491.59,42166.13,0.0,24534.4875,5428.57,-0.07,-94.89750000000276,-63.02000000000044,-3703.947500000002
2019-10-14 01:00:00+02:00,43968.47,0.0775,22823.09,5481.4625,40727.615,0.0,22830.6975,5429.2525000000005,-0.0775,7.607499999998254,-52.20999999999913,-3240.855000000003
2019-10-14 02:00:00+02:00,42904.015,0.09,20744.305,5631.905,40081.432499999995,0.0,20925.215,5419.16,-0.09,180.90999999999985,-212.7449999999999,-2822.582500000004
2019-10-14 03:00:00+02:00,42652.542499999996,0.11249999999999999,18510.465,5745.56,40458.37,0.0,18870.32,5414.24,-0.11249999999999999,359.85499999999956,-331.3200000000006,-2194.1724999999933
2019-10-14 04:00:00+02:00,44438.292499999996,0.175,15976.66,5582.6125,42088.130000000005,0.0,16702.315,5335.5975,-0.175,725.6549999999988,-247.01500000000033,-2350.1624999999913
2019-10-14 05:00:00+02:00,49374.92,0.2225,13166.06,4769.225,46168.869999999995,0.0,14554.8575,5168.6775,-0.2225,1388.7975000000006,399.4524999999994,-3206.050000000003
2019-10-14 06:00:00+02:00,58163.3425,0.33,11225.24,3659.1425,54834.5625,0.0,12671.4125,4677.5425000000005,-0.33,1446.1725000000006,1018.4000000000005,-3328.779999999999
2019-10-14 07:00:00+02:00,64544.255,86.58500000000001,9454.36,2471.515,60364.619999999995,121.065,10438.6475,3894.7325,34.47999999999999,984.2874999999985,1423.2175000000002,-4179.635000000002
2019-10-14 08:00:00+02:00,66552.1,2764.76,7755.185,1769.5575,62653.7725,2383.085,8086.9025,2931.585,-381.6750000000002,331.71749999999975,1162.0275000000001,-3898.3275000000067
2019-10-14 09:00:00+02:00,66780.6825,8779.7525,5817.307500000001,1265.7,63443.8725,7228.555,5745.3975,2155.49,-1551.1975000000002,-71.91000000000076,889.7899999999997,-3336.8099999999977
2019-10-14 10:00:00+02:00,67632.315,14769.585,3875.725,1006.1325,64400.0375,11902.805,3991.9175,1653.2175,-2866.779999999999,116.19250000000011,647.0849999999999,-3232.277500000004
2019-10-14 11:00:00+02:00,67934.0925,18876.6625,2649.0275,844.02,65461.167499999996,15131.1175,3015.1075,1349.39,-3745.5449999999983,366.0799999999999,505.3700000000001,-2472.925000000003
