variable,hour,mean_error,std_error,p50,p90,p95,p99
wind_offshore,19,-71.7873761200735,625.81344278927,-58.97465909090908,642.2777863636367,965.9607500000001,1606.6938659090927
wind_offshore,20,-69.71432111115922,635.2794155675108,-60.67499999999987,648.0886954545455,1018.6474886363637,1701.4114045454567
wind_offshore,21,-62.97679849585066,647.855230576949,-57.2079545454546,690.9807954545455,1064.493559090909,1712.1481863636386
wind_offshore,22,-54.214365239138054,645.8984228879253,-50.202772727272695,701.619872727273,1058.9231931818183,1724.639736818183
wind_offshore,23,-41.71973875551786,658.6539632382079,-36.70872727272725,722.9850454545455,1074.880288636363,1746.7664750000004
wind_onshore,0,-192.2012376285099,1189.9007826962531,-143.99261363636376,1118.2868778909094,1637.10393839091,2918.0650342654594
wind_onshore,1,-153.68460875795887,1205.7117958376764,-132.76056818181817,1146.191957054546,1724.4360649090916,3041.253009723642
wind_onshore,2,-78.0384009201192,1231.5836168114993,-70.24772727272702,1254.3140419363633,1815.9987735090917,3343.034401210913
wind_onshore,3,-68.73524934371791,1242.9949319116913,-46.531082136363686,1272.9043370545453,1879.729334709092,3497.568129585458
wind_onshore,4,-68.08227408497508,1242.7346880850312,-43.34806827272717,1248.0738044000009,1882.287819863637,3523.932556192732
wind_onshore,5,-140.3924345997271,1236.4319220348632,-108.1593891818182,1142.8340387272729,1782.4908948909092,3314.7794922036405
wind_onshore,6,-308.5192737991963,1285.2031312908568,-222.72599127272736,1045.6259582363639,1665.767654081819,3177.395456654549
wind_onshore,7,-244.29242662311208,1307.2979082219556,-172.11644500000014,1156.0594090909099,1743.828380145455,3183.3168015527317
wind_onshore,8,-38.772428569850746,1321.2219349960615,61.90101772727277,1396.1497500000003,1965.5017977272735,3301.4574015890958
wind_onshore,9,133.74284362360274,1310.9874509363208,166.87229590909013,1592.286222054546,2187.189136363637,3551.0173440872763
wind_onshore,10,146.2509614585965,1354.0847710213593,134.8813862272725,1653.2122272727277,2302.7485681818175,3936.351793501823
wind_onshore,11,37.45527113536527,1434.0793789296247,35.80886363636354,1694.9708181818185,2287.445556818182,4085.115580916369
wind_onshore,12,-30.636994498999663,1490.2779015760561,-33.336818181818174,1632.8695931545458,2355.1645525090917,4271.708227272734
wind_onshore,13,21.699026909088193,1557.0640371788948,-33.272314000000556,1824.062452145455,2562.876194781819,4662.611929138187
