year,variable,hour,n,mean_error,std_error,mae,rmse,min_error,max_error,p50,p75,p90,p95,p99
2015,wind_onshore,18,365,-361.444993150685,1439.0054280160539,1089.5051164383563,1481.7914340130908,-5351.0975,3792.3674999999994,-189.62750000000003,446.5925000000002,1216.6540000000005,2003.7810000000006,3251.9551999999994
2015,wind_onshore,19,365,-434.3730958904109,1478.7138328866406,1149.507890410959,1539.2478409495695,-5743.914999999999,3591.7400000000016,-277.73749999999995,433.4249999999993,1138.255000000001,2005.2699999999993,2990.5511000000038
2015,wind_onshore,20,365,-475.07923972602737,1562.4316695380749,1224.5796095890412,1631.013429360993,-7009.795,3781.1174999999985,-254.9625000000001,504.35249999999905,1243.0375000000001,1926.8845000000015,3386.7567000000004
2015,wind_onshore,21,365,-587.660294520548,1653.9849465259583,1287.5263356164382,1753.144560266183,-8449.2975,3532.3899999999994,-367.1724999999997,385.00250000000005,1236.3229999999996,1945.3729999999996,3310.4944000000023
2015,wind_onshore,22,365,-521.5425342465753,1686.6390152801705,1256.6497397260275,1763.2254376787826,-9849.12,4255.434999999998,-369.21999999999935,409.0725000000002,1329.1349999999993,1947.2635000000002,3723.486900000002
2015,wind_onshore,23,364,-494.14837225274727,1735.5773972858233,1243.288331043956,1802.2586278453998,-11835.695,4799.170000000002,-331.84750000000076,455.51249999999993,1309.37725,1974.3731249999937,3736.1407250000007
2015,wind_offshore,0,364,-265.54156593406594,439.95197538488424,368.42987637362637,513.3598268749108,-1809.7225,780.0049999999999,-191.57625000000002,-11.991250000000019,209.71225,388.53999999999974,706.2635249999998
2015,wind_offshore,1,364,-263.5437912087912,436.56528542676614,362.8871428571429,509.43201851481996,-1814.13,766.2375,-183.08249999999998,-5.995000000000008,200.55674999999988,373.0889999999997,641.1992750000001
2015,wind_offshore,2,364,-256.347032967033,443.12701461301504,367.6258104395604,511.40580518819445,-1738.8874999999998,808.3125,-176.17249999999999,4.8000000000000025,246.9857499999998,377.1551249999994,687.2879500000006
2015,wind_offshore,3,364,-258.80151785714287,450.0828577350808,371.52309752747254,518.6485138356535,-1719.2225,983.6975000000002,-186.27999999999997,2.243125,206.49775000000008,378.6534999999999,656.734
2015,wind_offshore,4,364,-254.350885989011,456.3170198992277,374.82149038461534,521.8692829992347,-1725.98,1217.1150000000002,-188.52125000000007,2.352500000000027,208.04124999999982,436.08287499999955,699.6343500000002
2015,wind_offshore,5,364,-257.43583791208795,454.15714207873145,375.51538461538473,521.5029007932253,-1720.6575000000005,1251.535,-191.35124999999994,4.493124999999992,218.4560000000001,389.9772499999994,675.611575
2015,wind_offshore,6,364,-254.34536401098904,454.75768677704,378.07926510989006,520.507419253979,-1734.62,1343.4025,-196.49624999999986,4.005625000000055,245.68924999999996,404.884125,704.7240250000001
2015,wind_offshore,7,364,-242.3662843406593,455.4999543525039,372.9774107142857,515.4140312677387,-1694.2025,1391.125,-189.1725,13.216875000000012,224.22924999999987,428.1541249999997,760.738825
2015,wind_offshore,8,364,-223.72668956043955,452.5570860230094,367.9392445054945,504.2805653811373,-1660.2875,1296.5975,-178.89999999999986,33.856874999999995,269.0992499999999,482.264249999999,738.1754750000003
2015,wind_offshore,9,364,-209.3609271978022,446.8260328963384,362.0051991758242,492.8863995633643,-1639.6125000000002,1171.3225000000002,-148.6312499999999,32.93625,284.66149999999993,521.5861249999992,744.6062250000002
2015,wind_offshore,10,364,-206.0094436813187,443.0478402299855,359.1204326923077,488.0491958413454,-1529.8725,1230.705,-160.5925,29.445625000000003,298.598,488.36024999999944,935.7518750000004
2015,wind_offshore,11,364,-204.11708791208795,446.6742268349461,360.7200137362638,490.5441106503924,-1531.8125,1243.025,-160.97,29.04125,322.4312499999999,441.68887499999977,1121.2909250000002
2015,wind_offshore,12,364,-201.13129120879123,446.5450416268947,361.4128434065935,489.19164088301983,-1577.2325,1250.1674999999998,-136.005,32.738125,309.1629999999997,431.8141249999994,1046.7407
2015,wind_offshore,13,364,-200.820260989011,439.2535294882358,355.59197802197804,482.43380414608595,-1598.1999999999998,1277.6324999999997,-131.21125,26.17875,319.84449999999964,456.2242499999998,832.464025
2015,wind_offshore,14,364,-204.37679258241758,443.75246811178476,353.70794642857135,488.0011758025455,-1706.8475,1279.0775,-124.07125000000002,44.65875000000001,282.0657499999999,473.44737499999945,752.35765
2015,wind_offshore,15,364,-207.6479876373626,447.8757625181236,356.48558379120874,493.1118601074087,-1698.7875,1091.965,-142.955,37.59125,291.89874999999984,493.6686249999997,771.6030250000001
2015,wind_offshore,16,364,-219.77672390109893,448.0664741141291,362.99234203296703,498.51161003296056,-1681.8225000000002,888.365,-160.68875,18.44874999999999,304.3354999999999,457.71487499999955,758.73565
2015,wind_offshore,17,364,-236.23628434065932,455.67114783753044,375.25441620879116,512.7117590845646,-1672.8200000000002,973.2325,-188.3487500000001,13.841249999999999,298.5042499999999,432.45612499999993,768.6129249999998
2015,wind_offshore,18,364,-249.8363873626374,458.7859122026355,381.39817307692306,521.8471802441568,-1795.5825,846.1324999999999,-188.04874999999998,10.381874999999987,260.2324999999998,417.1556249999994,759.6174750000002
2015,wind_offshore,19,364,-260.1828434065934,456.16113002895844,385.8467032967033,524.6012123732223,-1852.6675,849.4424999999999,-212.16750000000002,-5.094375000000008,214.31549999999993,441.885874999999,781.6854250000001
2015,wind_offshore,20,364,-261.45006868131867,461.89832585831215,390.0819230769231,530.2075775545756,-1893.8725,853.8800000000001,-200.12624999999986,-2.698125,219.53599999999997,520.2231249999993,799.323425
2015,wind_offshore,21,364,-263.16683379120883,460.50965485176675,392.06195741758245,529.8521653120184,-1853.2425000000003,878.2600000000002,-211.48999999999995,6.110000000000021,239.7777499999998,469.08187499999957,808.6184999999998
