year,variable,n,mean_error,std_error,mae,rmse,min_error,max_error,p50,p75,p90,p95,p99
2022,wind_onshore,8759,-210.15963523233242,1497.0292470143943,1065.9202032195456,1511.6242180343936,-8312.07,10719.454999999998,-154.66249999999854,515.4075,1402.6954999999987,2160.8589999999995,4246.556750000004
2022,wind_offshore,8759,12.082891597214296,652.4418037337797,456.63104264185404,652.5164398990296,-2874.48,3878.52,9.764999999999986,288.18625,774.8600000000004,1141.8297500000006,1914.4245500000002
2022,load,8759,772.0873844046124,2694.190516721662,2195.7899765955017,2802.490456808542,-9580.002500000002,10265.762500000004,703.0399999999936,2550.5550000000003,4261.265999999994,5250.914500000004,6971.097249999997
2023,solar,8759,-7.086709670053652,918.0070680263525,437.81407067016784,917.9820175611959,-7092.267500000002,5904.32,-2.925,48.28624999999999,744.8824999999999,1424.215500000002,2817.19165
2023,wind_onshore,8759,-51.10099611827835,1692.3299695682858,1186.5898532937551,1693.004743625441,-7299.149999999998,13563.0575,-16.662499999999454,761.9775,1710.9189999999999,2508.1597500000007,5036.642850000003
2023,wind_offshore,8759,-35.35844360086768,799.2128691522573,565.7683979335541,799.949064481318,-3536.32,4093.575,-42.35249999999997,279.95,914.7149999999999,1464.7252500000004,2373.06905
2023,load,8759,171.77689662061883,2384.697798768026,1942.9642370704416,2390.7408147553924,-7024.625,8754.192499999997,191.81249999999272,1871.4087499999987,3203.0920000000024,3923.9902499999985,5700.290050000002
2024,solar,8783,99.53328731640667,1159.7978331975482,568.6890342138221,1163.9951621529824,-6972.1275000000005,9135.392500000002,-4.5875,105.96125000000029,1195.004499999999,2123.9232499999985,4190.891950000001
2024,wind_onshore,8783,-23.95618382101788,1597.8246872512264,1125.7150253330296,1597.9133110984887,-9633.165,12429.1525,-14.694999999999707,707.89,1775.1694999999988,2652.8302499999977,4499.096150000001
2024,wind_offshore,8783,45.26965359216669,808.1684010154783,569.1856743140157,809.3893638172464,-3323.5024999999996,4778.6575,9.912500000000364,381.40874999999994,985.6530000000004,1457.4657499999994,2684.5422
2024,load,8783,-400.4314265049528,2519.8398934637735,1962.4254344764888,2551.3164199612856,-9321.082499999997,9328.0075,-286.82250000000204,1246.6674999999996,2621.459499999995,3552.0925000000007,5318.00285000001
2025,solar,8759,-38.53756515572556,1337.7318825000134,677.3870416073753,1338.210531345939,-7467.902447,10417.074271,-8.819369,47.70173274999999,1145.9715000000008,2202.7618227000003,4071.3200864
2025,wind_onshore,8759,-105.81085858556912,1602.8806430758052,1162.2391454832743,1606.2779863950466,-6818.317500000001,9103.643035999998,-65.37699999999995,726.9750000000001,1658.1823775999962,2373.807810599997,4613.425741250001
2025,wind_offshore,8759,-79.77044071811852,708.6879153318339,512.1075302260531,713.1230923445205,-2953.6600000000003,4434.2525000000005,-57.75049999999999,262.7279999999999,691.1910499999994,1053.92435,2066.7441000000003
2025,load,8759,395.8834034287018,2430.213161798337,1933.0998791012105,2462.109950897397,-8838.333149249993,10510.819331500004,461.7907500000001,1892.3652975000007,3407.7358531999994,4498.547349999995,6519.935315000003
