utc_timestamp,hour,horizon_hours,objective_value,load_forecast_mw,solar_forecast_mw,wind_onshore_forecast_mw,wind_offshore_forecast_mw,forecast_net_load_mw,reserve_margin_mw,risk_adjusted_net_load_mw,battery_charge_mw,battery_discharge_mw,battery_power_mw,soc_before_mwh,soc_after_mwh,net_load_after_battery_mw
2025-09-18 19:00:00+02:00,19,24,6.751043959472076,57796.3,216.86,16360.92,6559.405000000001,34659.115000000005,4698.1931653906595,39357.30816539066,7.621826245003862,16.045609353399197,8.423783108395334,46.461683106661546,36.81230292361129,39348.88438228227
2025-09-18 20:00:00+02:00,20,24,7.133281870870347,56105.205,0.0,16974.35,6586.9475,32543.9075,4509.192804166396,37053.10030416639,3.40180832342475,2.693424158065196e-07,-3.401808054082334,36.81230292361129,40.04402055568549,37056.50211222048
2025-09-18 21:00:00+02:00,21,24,7.434615027769658,53637.915,0.0,17568.7775,6479.9675,29589.17,4411.7075818158955,34000.87758181589,2.293478904247154,1.357515294316634e-07,-2.2934787684956244,40.04402055568549,42.22282537694118,34003.171060584384
2025-09-18 22:00:00+02:00,22,24,7.622762805424431,50534.7525,0.0,17783.449999999997,6416.6375,26334.665000000005,4328.27652043986,30662.941520439865,1.7560749111217135,2.896925287295813e-07,-1.756074621429185,42.22282537694118,43.8910962507386,30664.697595061294
2025-09-18 23:00:00+02:00,23,24,7.721067185568263,47472.395,0.0,17930.04,6371.4825,23170.872499999998,4330.554890984188,27501.427390984187,1.5192272538640845,1.2943765026730372e-07,-1.5192271244264342,43.8910962507386,45.334362014669196,27502.946618108614
2025-09-19 00:00:00+02:00,0,24,7.7843059578074545,45087.02,0.0,19390.465,6406.235000000001,19290.319999999996,3617.7322642363424,22908.05226423634,7.802467162347332,16.681609025378105,8.879141863030773,45.334362014669196,35.187117364383944,22899.173122373308
2025-09-19 01:00:00+02:00,1,24,7.780648062975969,43287.4375,0.0,18731.68,6389.105,18166.6525,3641.423965533303,21808.076465533304,6.527762731873407,7.159477335215898e-07,-6.527762015925674,35.187117364383944,41.388491224255,21814.60422754923
2025-09-19 02:00:00+02:00,2,24,7.773950657938552,42904.445,0.0,17788.4725,6326.2125,18789.760000000002,3675.0677692184186,22464.82776921842,4.476531086891486,1.0353637463843107e-07,-4.476530983355111,41.388491224255,45.64119565059687,22469.304300201777
2025-09-19 03:00:00+02:00,3,24,7.750641462789674,43170.365,0.0,16621.73,6320.955,20227.68,3674.7829013668843,23902.462901366885,3.088725029181187,3.044066028756031e-07,-3.088724724774584,45.64119565059687,48.57548411650146,23905.55162609166
2025-09-19 04:00:00+02:00,4,24,7.719782061620072,44350.1525,0.0,15362.18,6034.0650000000005,22953.907499999994,3669.2102524367965,26623.11775243679,7.630152651790914,15.04318190971312,7.413029257922205,48.57548411650146,39.9892008021748,26615.704723178867
2025-09-19 05:00:00+02:00,5,24,7.63271482161428,47901.585,0.0,14297.325,5853.58,27750.679999999993,3724.1421741552895,31474.822174155284,4.558768610855725,2.8985531958638936e-07,-4.5587683210004055,39.9892008021748,44.32003068592789,31479.380942476284
2025-09-19 06:00:00+02:00,6,24,7.4881441317791015,53931.4025,11.41,13471.605,5733.3275,34715.06,4092.0061232284265,38807.066123228426,0.9185825203428155,4.953611564748706e-07,-0.9185820249816591,44.32003068592789,45.192683573115076,38807.98470525341
2025-09-19 07:00:00+02:00,7,24,7.233221879350431,59246.375,2289.4175,12146.09,5477.005,39333.862499999996,4494.9397012721165,43828.80220127211,7.821470014955618,16.76151801947947,8.940048004523852,45.192683573115076,34.97937690220116,43819.86215326759
2025-09-19 08:00:00+02:00,8,24,6.853941530123206,62363.9125,10713.665,10606.5125,5177.0375,35866.6975,4851.495289905015,40718.19278990502,2.4863529553194494,3.462185578321915e-07,-2.4863526091008916,34.97937690220116,37.34141185736172,40720.67914251412
2025-09-19 09:00:00+02:00,9,24,6.513915715657181,63023.555,21814.737500000003,8549.175,4890.245,27769.3975,5181.305190616899,32950.7026906169,2.3804687917776315,2.0480633697460924e-06,-2.380466743714262,37.34141185736172,39.60285511660976,32953.08315736061
2025-09-19 10:00:00+02:00,10,24,6.285951424486283,64094.9375,31663.9275,7532.135,4829.1849999999995,20069.690000000002,5632.531886463528,25702.22188646353,2.5634134836605527,2.0102881051010703e-07,-2.563413282631742,39.60285511660976,42.03809772255468,25704.78529974616
