year,variable,month,n,mean_error,std_error,mae,rmse,min_error,max_error,p50,p75,p90,p95,p99
2022,wind_offshore,8,744,-93.77828965053766,398.73684295240116,272.08082325268816,409.3552734029379,-2107.5175,1017.77,-8.821249999999992,97.66249999999998,293.81525000000033,454.58125000000007,797.8060750000019
2022,wind_offshore,9,720,-59.036465277777786,682.6252220005416,490.5692013888888,684.700888999687,-2256.2050000000004,2204.0199999999995,-36.837500000000006,226.7625,861.9832499999998,1060.285249999999,1486.7031249999998
2022,wind_offshore,10,745,100.19078859060403,689.8768944949803,501.17096308724825,696.6559346533817,-2363.225,3878.52,97.69749999999988,475.6199999999999,835.8060000000004,1054.1165,2089.656199999996
2022,wind_offshore,11,720,-59.81353819444443,880.268072659801,650.6736562499999,881.687772486071,-2422.0275,3379.505,-112.84124999999949,328.6037499999993,1036.2909999999997,1703.0858749999998,2436.638124999995
2022,wind_offshore,12,743,-97.78118438761774,785.1826081933165,591.685598923284,790.7231678436011,-2874.48,3084.0825000000004,-117.46499999999996,363.6137500000001,803.2219999999999,1150.9412499999996,1810.9348000000011
2022,load,1,744,-2036.3606384408602,2616.8816727695544,2696.8290725806446,3314.457714970097,-8855.054999999993,4265.092499999999,-1960.5487500000017,-389.98562499999025,1477.1339999999987,2537.3842500000046,3938.9732999999933
2022,load,2,672,-934.015505952381,2561.2938626993955,2138.4525892857146,2724.4905900031995,-9580.002500000002,5725.392500000002,-1003.8150000000023,595.1725000000042,2341.770749999998,3635.65925,5143.122075000001
2022,load,3,743,-888.9093909825034,1844.3452475860463,1679.5412146702554,2046.26271249036,-6687.212499999994,4821.940000000002,-1075.1600000000035,207.39624999999796,1611.9615000000156,2492.6547499999956,3985.344749999998
2022,load,4,720,-475.8003541666665,2605.391185166374,2088.557305555555,2646.7000848554185,-8504.832500000004,7307.242499999993,-647.3612499999981,1034.8306250000005,3069.3479999999986,3861.690499999999,5950.348099999946
2022,load,5,744,-743.6478864247308,1575.6142546071646,1396.1800302419351,1741.331583511963,-4935.952500000014,3877.07,-706.9612499999967,297.84625000000597,1193.3079999999984,1928.6052500000012,3268.969224999998
2022,load,6,720,236.71853124999996,1181.5291964689334,954.3886284722224,1204.2043018702234,-3929.887499999997,3287.5899999999965,265.2049999999981,1051.5512500000004,1794.1194999999936,2114.045124999993,2640.4312250000044
2022,load,7,744,1116.8394489247314,1337.57593510326,1399.6115994623656,1741.8481621342148,-2979.090000000004,5209.950000000004,1046.3450000000012,1834.0612500000009,2898.677000000001,3556.900500000002,4457.500850000001
2022,load,8,744,1718.6969993279567,1235.6896339663808,1786.0709106182794,2116.316593338266,-1678.8775000000023,5006.122499999998,1656.7675000000017,2543.689374999998,3469.7640000000056,3908.658750000001,4625.401275
2022,load,9,720,1606.2674027777782,2042.3905908812799,2080.1689166666665,2597.2409861866486,-3220.8499999999985,6112.082499999997,1457.3812499999985,3317.3418749999983,4336.7165,4906.399749999998,5776.17495
2022,load,10,745,4685.162580536913,1837.7440381084316,4685.725708053691,5032.247834005012,-107.99250000000028,10265.762500000004,4651.6700000000055,5912.744999999995,7008.884999999999,7607.211999999998,9282.637399999996
2022,load,11,720,3102.935638888889,1649.3749373948608,3153.285958333333,3513.526558533566,-2200.467499999999,7249.557499999995,3275.81625,4315.35375,5084.836250000003,5468.985750000009,6522.251474999993
2022,load,12,743,1750.4513088829071,2232.807829095126,2264.8241554508745,2835.9832016337673,-3534.8150000000023,7996.4649999999965,1618.7474999999977,3118.426250000004,4861.685500000001,5889.432250000001,6887.009900000001
2023,solar,1,744,137.6032190860215,545.505375396979,236.54966397849464,562.2373098557979,-2302.08,3491.5150000000003,-2.19125,54.47937500000013,690.0234999999999,1188.6052500000005,2436.4036750000014
2023,solar,2,672,-43.72673735119046,939.0652890332523,403.9257849702381,939.3845737179121,-3600.24,5467.9725,-3.6574999999999998,-2.8675,282.33699999999993,1038.0004999999987,4486.589049999994
